query,perfume_id,perfume_name,brand,description
romantic winter fragrance,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
elegant winter perfume for evening,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
woody fruity perfume notes,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
bulgarian rose perfume review,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
xerjoff accento overdose pride edition,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
date night fragrance with rose,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
eucalyptus pine perfume notes,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
perfume with egyptian jasmine and lily-of-the-valley,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
warm vanilla perfume for cold nights,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
woody fruity aldehyde perfume,0,accento-overdose-pride-edition,xerjoff,"accento-overdose-pride-edition by xerjoff. accords: rose, woody, fruity. top notes: fruity notes, aldehydes, green notes. middle notes: bulgarian rose, egyptian jasmine, lily-of-the-valley. base notes: eucalyptus, pine."
Jean-Paul Gaultier Classique Pride 2023,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Winter evening scent with citrus and florals,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Warm vanilla and musk perfume,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Citrusy and flowery date night fragrance,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Fragrance with blood orange and neroli notes,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Scented candle or perfume with white woods and musk,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Sweet and romantic perfume for winter,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Perfume with orange blossom and yuzu top notes,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Date night perfume with white floral accord,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
Winter evening scent with classique-pride-2023 by jean-paul-gaultier,2,classique-pride-2023,jean-paul-gaultier,"classique-pride-2023 by jean-paul-gaultier. accords: citrus, white floral, sweet. top notes: blood orange, yuzu. middle notes: neroli, orange blossom. base notes: musk, white woods."
romantic winter fragrance,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
bruno banani pride edition for men,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
woody and fruity cologne,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
guarana grapefruit red apple perfume,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
nutty woody vetiver cologne,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
date night scent with lavender,3,pride-edition-man,bruno-banani,"pride-edition-man by bruno-banani. accords: fruity, nutty, woody. top notes: guarana, grapefruit, red apple. middle notes: walnut, lavender, guava. base notes: vetiver, benzoin, amber."
